r1_service_a,r1_service_b,r2_service_b,r1_service_c,r2_service_d,r1_throughput,r2_throughput,r1_mean_latency,r2_mean_latency,throughput
155,52,89,185,106,99.13,100,0.00219,0.331466,199.13
177,145,103,126,66,100,100,0.00121,0.221836,200
156,120,120,62,190,100,100,0.0015,0.223552,200
78,150,63,40,53,95.83,99.62,0.0024,0.64518,195.45
198,74,109,175,50,99.49,100,0.00191,0.290922,199.49
137,97,39,62,104,100,100,0.00116,0.200733,200
40,142,128,149,71,93.03,100,0.00226,0.37339,193.03
108,80,158,40,41,98.79,100,0.00214,0.335887,198.79
130,28,68,189,186,91.62,100,0.00209,0.367836,191.62
88,172,27,30,133,96.43,100,0.00205,0.301974,196.43
33,140,168,74,36,100,100,0.00139,0.211905,200
44,124,71,122,175,88.36,100,0.00193,0.467149,188.36
112,90,53,169,109,100,100,0.00134,0.378446,200
142,49,88,154,81,97.11,100,0.00212,0.241657,197.11
186,149,79,151,114,94.79,100,0.00183,0.402466,194.79
173,169,172,136,163,70.85,100,0.00195,0.858652,170.85
45,198,94,55,102,78.8,100,0.00182,0.661437,178.8
74,143,97,125,40,72.13,100,0.00238,0.00144,172.13
54,147,153,165,165,84.93,100,0.00234,0.668152,184.93
71,147,137,84,31,93.44,100,0.00177,0.337709,193.44
150,145,103,187,142,89.55,100,0.002,0.468717,189.55
48,114,123,110,144,100,100,0.990154,0.149577,200
79,153,123,196,154,100,100,0.00189,0.196197,200
68,103,116,69,197,87.72,100,0.0014,0.303557,187.72
121,115,164,154,55,85.01,97.95,0.00248,0.00151,182.96
129,146,195,70,138,100,100,0.989792,0.319678,200
98,79,64,140,144,100,100,0.00101,0.36023,200
42,121,79,154,77,86.28,100,0.00223,0.523051,186.28
92,112,172,48,154,87.2,100,0.00213,0.424421,187.2
50,115,158,153,36,97.46,100,0.00167,0.284349,197.46
134,56,161,59,68,98.36,100,0.00147,0.402886,198.36
29,90,190,129,80,83.04,100,0.00196,0.552717,183.04
35,85,40,174,94,90.73,100,0.00226,0.313382,190.73
172,61,93,119,170,97.04,100,0.00181,0.40594,197.04
66,85,140,116,182,97.2,100,0.00178,0.320693,197.2
119,63,81,89,196,97.2,100,0.00201,0.361999,197.2
131,50,183,197,191,92.69,100,0.00209,0.432939,192.69
107,30,125,55,167,81.37,100,0.00215,0.99214,181.37
